2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-26] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-58] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-18] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-7] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-50] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-102] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-41 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-95] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-101 
2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-98] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-64] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-46 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-32] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-1 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-33] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-20 
2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-30] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-78] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-27 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-76] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-35 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-62] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-115 
2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-97] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-103] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-68 
2020-11-13 12:46:24,530 [pool-6-IoTDB-RPC-Client-thread-75] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-13] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-67 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-35] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-18 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-28] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-12 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-34] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-92 
2020-11-13 12:46:24,532 [pool-6-IoTDB-RPC-Client-thread-13] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-107] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-106 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-22] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-50 
